,Bio,Hashtags,Location,Location Coordinates,Mentions,Name,Number Following,Number of Followers,Number of Tweets,Time,Tweet,Tweet ID,Username,Web
138,"Fate,, up against your will, Through the thick and thin",DissolveTheUnion,,,suleskerry,king0scots1,4997,2158,10326,Mon Jul 08 11:45:24 +0000 2019,"@suleskerry His party leader Ruth Davidson, made her EU election campaign an anti indyref2 campaign, Vote Tory to send Nicola Sturgeon a message, her own constituency voted SNP.
#DissolveTheUnion",1148196381846376448,Tex Thomson,
140,gran,,,,,suleskerry,1767,1647,122692,Mon Jul 08 11:41:08 +0000 2019,These are the big names debating Sturgeon's Scottish Citizens’ Assembly plans https://t.co/OjxIQkO45B,1148195309295681536,Eileen May,https://t.co/OjxIQkO45B
143,,,,,scotlandinunion pamela_nash NicolaSturgeon,EilMac3,493,467,21508,Mon Jul 08 11:31:24 +0000 2019,"@scotlandinunion @pamela_nash @NicolaSturgeon Wow, Pamela Nash has written to our First Minister. I’m sure Nicola Sturgeon will be awaiting her letter with baited breath!! 😂😂😂😂😂😂😂😂",1148192858165452800,Bellamac,
145,"Experienced Security Professional and Proud Veteran. Triumph owner, riding all year round. Motto: Fortiter in re - 'Bravely into action'.GSM, QJM. #CymruAmByth",,United Kingdom,,,Exp_Sec_Prof,994,820,42592,Mon Jul 08 11:26:32 +0000 2019,https://t.co/n9N0NZIFZ8,1148191634284302336,Mark #IAmSoldier-F #StandUp4Brexit,https://t.co/n9N0NZIFZ8
154,"Exmoor. 
Intrigued by many, bored by most. Keen observer.",,West Somerset,,,JdMcC2011,1537,731,18664,Mon Jul 08 11:11:07 +0000 2019,"https://t.co/Z0i0OJOF5d

via Fast News ( https://t.co/U4k1GMe8eJ )",1148187754209193984,Jade McClelland,https://t.co/Z0i0OJOF5d https://t.co/U4k1GMe8eJ
155,"Liminality personified. Lifestyle and professional kinky radical neuroqueer love machine. Pretty good at modelling.

*CW BDSM*

They/them. 

 https://t.co/QTmxu958Nr",,"West end town, dead end world",,EmmelineMayRDPP,MogTheConfessor,3098,3949,27193,Mon Jul 08 11:00:46 +0000 2019,@EmmelineMayRDPP https://t.co/SOKoFneRbd,1148185149856722944,Transmogrifire 🔥,https://t.co/SOKoFneRbd
156,"Sportswriter and broadcaster. My styles – opinion-making, dress-sense, even choice of beer – attract widespread derision.",MakeYourFringe,Scotland,,edfringe New_TownTheatre,GrahamSpiers,1412,102680,29350,Mon Jul 08 10:58:33 +0000 2019,"My @edfringe interview guests in August include Nicola Sturgeon, Ruth Davidson, Ricky Ross, John McDonnell MP, Michael Stewart, Ian Rankin, Kezia Dugdale, Janey Godley, Archie Macpherson, Prof Tom Devine and more.
Tickets: https://t.co/UPFaO7Js9F
@New_TownTheatre 
#MakeYourFringe https://t.co/Qnqg7lnM1t",1148184591532011526,Graham Spiers,https://t.co/UPFaO7Js9F
157,anarcho-syndicalist,,Scotland,,,alix_xvx,92,36,80,Mon Jul 08 10:48:01 +0000 2019,unionists think calling nicola sturgeon jimmy crankie is the same as an argument,1148181940585082880,alix🍞🌹,
158,"Avoiding the drama from behind a lens. Simple pics in a complex World, Images do not suggest support for the views being expressed in them. Subject to copyright",,UK,,,moments_pic,44,7,172,Mon Jul 08 10:33:54 +0000 2019,Nicola Sturgeon SNP https://t.co/exfyhbDYdz,1148178388160524288,EOS Canon Quick Pics,
159,"Democracy, Secularism, Free Markets; mean freedom peace and prosperity.",Brexit,,,,Alexblx,1931,2713,157015,Mon Jul 08 10:33:29 +0000 2019,#Brexit https://t.co/XrM72mFMi8,1148178284959686656,Alexblx,https://t.co/XrM72mFMi8
171,🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺Independentista #Indyref1 Veteran Waiting For #Indyref2 #ScotRef #FBSI,,Scotland,,,ScotIndyDebate,11904,10857,201923,Mon Jul 08 10:01:07 +0000 2019,MP &amp; Cllr urge Sturgeon to start independence talks - even if referendum rejected https://t.co/yCABP6RWAA,1148170136853106688,🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺ScotsVsAusterity #FBSI,https://t.co/yCABP6RWAA
179,"Fed up of the bully's on twitter thinking they're so perfect.
I decided to join to fight the biggots on twitter.",,UK,,AndyPar05926261 scotlandinunion pamela_nash,OnlyTalkingSen1,16,14,1578,Mon Jul 08 09:17:20 +0000 2019,"@AndyPar05926261 @scotlandinunion @pamela_nash It wasn't in the manifesto.
A very vague policy was in the manifesto.
Prior to last scottish election, Sturgeon clearly said voting SNP is not a vote for another referendum or for independence and she knows she can't claim that as many will vote on other policies.
She lied.",1148159117682495488,OnlyTalkingSense,
180,British Scot. RTs not necessarily endorsements,,UK,,,TheEuroGirl,2667,2775,127375,Mon Jul 08 09:03:34 +0000 2019,https://t.co/61Dv0aAaRh,1148155653392871425,(((The Euro Girl))),https://t.co/61Dv0aAaRh
184,Brexit Member. Anti-Anyone not Brexit. Hate liars as good as Theresa May. Taking back Britain & NI where it belongs - in the ARMS of The People.,,United Kingdom,,,DJStevoz,102,221,12861,Mon Jul 08 08:56:12 +0000 2019,Excellent news. Piss off to Brussels SNP Sheep along with Frua Sturgeon and Adolf Salmond. https://t.co/Do2UKUSvA1,1148153801578336257,Steve Adams,https://t.co/Do2UKUSvA1
197,...uncensored for scotland/🌍🌍🌍🌍 group#pro independence#pro EU/#stopstockholmsyndrome#standing up for Montrose as a potential candidate/delegate mon. branch,,"Schottland, Ecosse, Alba",,,cookiris14,3629,2545,61791,Mon Jul 08 07:32:10 +0000 2019,https://t.co/bGBJdoJtix,1148132654514167808,Facebook.com/groups/4575411 be uncensored scotl,https://t.co/bGBJdoJtix
198,"The official Daily Record Twitter account - real news in real time. Also at: @record_sport, @LifeStyleDailyR and more.",,Glasgow,,,Daily_Record,2990,119765,212305,Mon Jul 08 07:29:41 +0000 2019,"Record View says the First Minister must not let the issue be hijacked by the Yes movement’s wilder fringes
https://t.co/lbtrOud9ab",1148132027604119552,The Daily Record,https://t.co/lbtrOud9ab
201,Supporter of an Independent Scotland. Architect. Concerned about climate change.,,"Bearsden, Scotland",,Del84946007,Jamero66,825,502,5919,Mon Jul 08 07:20:16 +0000 2019,"@Del84946007 ""blow to Sturgeon"" is up there with ""no apititite for Independence"" and ""SNP accused"" on my MSM Bingo card.",1148129659323846658,James M,
203,Scotland: Stronger in the UK,,"Scotland, United Kingdom",,pamela_nash,scotlandinunion,97,7752,3802,Mon Jul 08 07:11:06 +0000 2019,".@pamela_nash: “Trying to get independence through the back door will not wash.

“It’s wrong for the SNP to assume a vote for them is always a vote for independence.

“The majority of Scots want to remain in the UK...”

https://t.co/yx1tn63Ou4",1148127349994610688,Scotland in Union🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿,https://t.co/yx1tn63Ou4
205,,,,,AberJohnny SusaninLangside RGemmell75,moregrass511,184,293,28864,Mon Jul 08 06:25:37 +0000 2019,@AberJohnny @SusaninLangside @RGemmell75 The SNP is full of them starting with wee Jimmy Crankie Sturgeon,1148115907295584256,Vote Leave EU Loyal,
206,A political diary: for a democratic secular masterless and borderless world; for individual and social autonomy. #glykoreads,Brexit,"Dublin, European Union",,,glykosymoritis,223,946,30046,Mon Jul 08 06:10:13 +0000 2019,"The Scottish secretary, David Mundell, issued a thinly veiled warning to Boris Johnson that Nicola Sturgeon would welcome a no-deal #Brexit with “unseemly glee”. David Mundell said that Nicola Sturgeon would use October exit to push for independence. https://t.co/IZAOvM03Vy https://t.co/0ATkNoCCW0",1148112031419179008,(((glyko))),https://t.co/IZAOvM03Vy
209,Proud to be the Scottish Conservative & Unionist Councillor for Banchory & Mid Deeside,,Banchory & Mid Deeside,,,AnnRossforBMD,162,80,820,Mon Jul 08 05:54:30 +0000 2019,Really?  In the referendum in 2014 the people of Scotland voted NO.  The SNP leadership including Nicola Sturgeon pledged that it was to be once in a generation.  Can anyone believe a word any of the SNP say? https://t.co/mxv3TIHDkX,1148108076408553472,Cllr Ann Ross,https://t.co/mxv3TIHDkX
213,"Washington-based journalist, writer and blogger. Write mostly about U.S. foreign policy, liberalism, Islamic resurgence, terrorism, nationalism in South Asia.",,"Washington, D.C.",,,malik_in_dc,1486,412,14812,Mon Jul 08 05:41:40 +0000 2019,"Are Jeremy Corbyn and Nicola Sturgeon ushering in ""one of the most ambitious periods of centre-left government in [British] history""? https://t.co/KmV0sdp4g3",1148104845079044096,Mustafa Malik,https://t.co/KmV0sdp4g3
217,The most important breakfast of the day.,,,,,daily_sensible,1,42,22739,Mon Jul 08 03:40:36 +0000 2019,Nicola Sturgeon must find sensible way forward and ignore reckless independence plan - Daily Record https://t.co/BSv5kW0MXz,1148074378460090368,The Daily Sensible,https://t.co/BSv5kW0MXz
220,Celtic to the core🇮🇪🍀..never get involved with a mad indy2 voter they cant debate only abuse if you dare to disagree,,"Glasgow, Scotland",,KiltedKopite,colinmcmillan18,720,400,2166,Mon Jul 08 03:15:43 +0000 2019,@KiltedKopite Q nicola sturgeon saying he would have won it sooner in an independent Scotland,1148068113893777413,colin mcmillan,
222,"Freelance Photo-Journalist (NUJ & IPA), Classic Car Enthusiast, Politically Active. Pro Brexit, Anti-Nationalist...!",,UK,,SunScotNational ScotNational,TheRealDemonLee,88,135,11432,Mon Jul 08 01:49:30 +0000 2019,@SunScotNational @ScotNational I’ve arranged for Nicola Sturgeon to be absent from Scotland during your next visit...,1148046416490770432,Der Oberst #BREXIT,
225,"Adult human female, Scottish",,"Scotland, United Kingdom",,Indy_Leya scarycath,Mscots79,1919,1156,11117,Sun Jul 07 23:21:54 +0000 2019,@Indy_Leya @scarycath I don’t trust Nicola Sturgeon 1 bit.,1148009273470935040,Michelle Thomson 🏁,
228,I love gaming and everything about gaming. I am 🏴󠁧󠁢󠁳󠁣󠁴󠁿 not 🇬🇧 and never will be.,,Scotland,,Welsys1974 BorisJohnson,RpgCraig,28,132,5618,Sun Jul 07 22:39:28 +0000 2019,"@Welsys1974 @BorisJohnson But Scotland supports Nicola Sturgeon while the tories sit at 11% electoral support. It's not looking good for you and your ilk is it? Scotland is going to do what Scotland wants, not what unwanted tories want.",1147998593938284545,Craig Carter,
230,"Love my husband, love my children but most of all, I love the Lord ✝️
#unionforever🇬🇧 #leaveeunow #wwg1wga #BOOM #Q #trusttheplan  #BorisforPM",,"Kilmacolm, Scotland",,edglasgow59 FKGPML,Mawza_B,144,172,1621,Sun Jul 07 22:20:22 +0000 2019,@edglasgow59 @FKGPML And don’t forget thanks to Sturgeon living in Scotland we pay more tax..... I mean why did I not vote for her.... 🤨,1147993787593035778,Mummy Blair,
234,My Facebook: FallennAangel   https://t.co/oQNpeL4sPk  ~~~~~~~~~~~~~~~~~~~~~~~~  My Instagram: fallennaangel.cs,,"Smyrna, GA",,,FallennAangel,1437,321,97239,Sun Jul 07 21:31:05 +0000 2019,Scotland is considering giving each citizen a universal basic income https://t.co/g68dZJbaBq,1147981385141018625,Fallenn Aangel,https://t.co/g68dZJbaBq
